num;Tamaina;k;Eraikitzailea;ILS;ILS time;ILS originala;ILS time originala
46;50;5;0.007941234004451632;0.040181940588536205;10.976869344711304;0.04007487678406249;11.264325618743896
47;50;5;0.030574583978441604;0.04168762175808024;9.372941255569458;0.04029949479460103;9.212281227111816
48;50;5;0.022887279400738897;0.04161819998284511;9.362284421920776;0.03935597573384987;9.189093112945557
49;50;5;0.02889241722918874;0.040691342148150386;11.227353572845459;0.041742542095821795;10.037586212158203
50;100;5;-0.008250083768942115;0.060226629699314235;12.751320600509644;0.060665375318800216;13.636909246444702
51;100;5;0.004474773361044451;0.0631710385929533;12.479711532592773;0.06300473487361226;12.975496053695679
52;100;5;0.028114893346555356;0.06326113263014732;12.566832780838013;0.06362058315525362;13.045663595199585
53;100;5;0.004292425498093524;0.061990868413956186;13.122849225997925;0.06428703219751081;12.288849592208862
54;100;5;0.01940878564962429;0.06333765085351759;13.060177326202393;0.0630466964799766;12.428856134414673
55;100;5;0.04836167695857341;0.06532342216646539;11.825258016586304;0.06436817853923009;11.620855569839478
56;100;5;0.04460765589508117;0.06490102923181257;12.14551591873169;0.0636998782496333;12.281567335128784
57;100;5;0.007785729227924956;0.06403341131198517;11.61488652229309;0.064769899211924;12.236166954040527
58;100;5;0.000421775852206287;0.06201586025304083;11.651322364807129;0.06301615089887314;11.515370607376099
59;100;5;0.031007158773462246;0.06332314941602403;12.090421438217163;0.06152466262559942;12.574003458023071
60;100;5;0.013215437674981442;0.06183814050843891;11.76748251914978;0.06293006789758158;11.786224126815796
61;100;5;0.03071188482279552;0.06529102533802233;11.855214357376099;0.05863054595135292;11.98645806312561
62;100;5;-0.005168991113395687;0.062255288242296196;11.525960683822632;0.06243547631668424;11.906480312347412
63;100;5;0.0009561692509051055;0.06281590764497272;11.749956369400024;0.062901682105041;12.127675294876099
64;100;5;0.026646545665026666;0.06422655811775044;12.46060824394226;0.05911403004821264;12.09434461593628
65;100;5;0.010189882439623111;0.06554279497620838;11.902170658111572;0.06290723584705982;12.802706241607666
66;100;5;0.03744857389161194;0.06467641122127403;12.607483386993408;0.051923168298746894;12.396355152130127
67;100;5;0.04690659654964521;0.06426574285310538;12.16303563117981;0.05806529843032738;12.463348388671875
68;100;5;0.0077690680018685275;0.06402384653406387;12.283588647842407;0.06299455301324444;12.279901266098022
69;100;5;0.02699766557710476;0.06418552213505589;12.255565404891968;0.06405500919761387;12.157867193222046
70;100;5;0.01592628086260721;0.06459341363221516;12.134803056716919;0.06390228129209659;12.078008890151978
